ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9191583610188261,0.9934486238778344,0.9197258462143663,0.9191583610188261,0.9192902192227252,0.9023140258670167
Decision Tree,0.896640826873385,0.9362512315195548,0.8965069451643964,0.896640826873385,0.8964120810013123,0.8750284433336001
KNN,0.9154669619785899,0.9810513403057873,0.9163148994792462,0.9154669619785899,0.9156524352911063,0.8977912870095178
Naive Bayes,0.8970099667774086,0.9898795733602761,0.8996526040384818,0.8970099667774086,0.8971987029593252,0.8761707062067166
Random Forest,0.9198966408268734,0.9907085740840328,0.9199064064090005,0.9198966408268734,0.9197915837289171,0.9030968290443981
